Data_file_name,Column_name,Shapefile_name,Unit_count,Subject_population,Year,Measure,Variable1,Variable1_category,Field_name_alias
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_99,VAR_5_99,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,"$50,001-$70,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income ($50,001-$70,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_100,VAR_5_100,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,"$70,001-$100,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income ($70,001-$100,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_101,VAR_5_101,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,"$100,001-$150,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income ($100,001-$150,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_102,VAR_5_102,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,"$150,001-$200,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income ($150,001-$200,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_103,VAR_5_103,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,"$200,001 or more","Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income ($200,001 or more)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_104,VAR_5_104,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,Not stated,"Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income (Not stated)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_105,VAR_5_105,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,Total,"Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_106,VAR_5_106,Extended Family,Extended families in households in occupied private dwellings,2013,Count,Total extended family income,Total stated,"Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Count, Var1: Total extended family income (Total stated)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_107,VAR_5_107,Extended Family,Extended families in households in occupied private dwellings,2013,Median,Total extended family income,Median ($),"Subject pop: Extended families in households in occupied private dwellings, Year: 2013, Measure: Median, Var1: Total extended family income (Median ($))"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_108,VAR_5_108,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$30,000 or less","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($30,000 or less)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_109,VAR_5_109,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$30,001-$50,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($30,001-$50,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_110,VAR_5_110,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$50,001-$70,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($50,001-$70,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_111,VAR_5_111,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$70,001-$100,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($70,001-$100,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_112,VAR_5_112,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$100,001-$150,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($100,001-$150,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_113,VAR_5_113,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$150,001-$200,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($150,001-$200,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_114,VAR_5_114,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,"$200,001 or more","Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income ($200,001 or more)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_115,VAR_5_115,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,Not stated,"Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income (Not stated)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_116,VAR_5_116,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,Total,"Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_117,VAR_5_117,Extended Family,Extended families in households in occupied private dwellings,2018,Count,Total extended family income,Total stated,"Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Count, Var1: Total extended family income (Total stated)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_118,VAR_5_118,Extended Family,Extended families in households in occupied private dwellings,2018,Median,Total extended family income,Median ($),"Subject pop: Extended families in households in occupied private dwellings, Year: 2018, Measure: Median, Var1: Total extended family income (Median ($))"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_119,VAR_5_119,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$30,000 or less","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($30,000 or less)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_120,VAR_5_120,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$30,001-$50,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($30,001-$50,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_121,VAR_5_121,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$50,001-$70,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($50,001-$70,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_122,VAR_5_122,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$70,001-$100,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($70,001-$100,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_123,VAR_5_123,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$100,001-$150,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($100,001-$150,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_124,VAR_5_124,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$150,001-$200,000","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($150,001-$200,000)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_125,VAR_5_125,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,"$200,001 or more","Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income ($200,001 or more)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_126,VAR_5_126,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,Not stated,"Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income (Not stated)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_127,VAR_5_127,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,Total,"Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income (Total)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_128,VAR_5_128,Extended Family,Extended families in households in occupied private dwellings,2023,Count,Total extended family income,Total stated,"Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Count, Var1: Total extended family income (Total stated)"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),VAR_5_129,VAR_5_129,Extended Family,Extended families in households in occupied private dwellings,2023,Median,Total extended family income,Median ($),"Subject pop: Extended families in households in occupied private dwellings, Year: 2023, Measure: Median, Var1: Total extended family income (Median ($))"
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),AREA_SQ_KM,AREA_SQ_KM,,,,,,,Area square kilometres
2023 Census totals by topic for families and extended families by statistical area 2 (SA2),LAND_AREA_SQ_KM,LAND_AREA_SQ_KM,,,,,,,Land area square kilometres
